likes,dislikes,comment_count,
15539,37,1715,0
7999,84,612,0
427,93,51,0
3206,259,596,0
0,0,0,0
232,160,393,0
3655,82,81,0
371,124,88,0
5699,350,956,0
2488,34,231,0
17143,89,1319,0
6400,55,600,0
5225,215,444,0
18828,119,1310,0
10488,276,1340,0
8735,181,1061,0
9307,604,778,0
4833,229,631,0
9614,106,659,0
2599,923,546,0
11047,261,861,0
3102,333,609,0
8356,68,1040,0
1021,477,654,0
2007,70,303,0
3037,93,121,0
18346,47,1893,0
2225,25,65,0
1140,40,118,0
8909,164,473,0
14303,74,779,0
1106,116,142,0
4417,217,457,0
9122,120,772,0
1518,57,240,0
773,2735,1245,0
4481,231,744,0
11000,63,996,0
717,703,631,0
6804,120,900,0
3860,109,362,0
5374,102,417,0
4325,194,456,0
4250,241,1202,0
8671,260,319,0
15643,37,1724,0
5901,285,572,0
2925,834,1141,0
7800,548,1082,0
2053,235,86,0
523,41,85,0
5458,78,227,0
3263,50,234,0
9466,106,706,0
5971,309,614,0
1672,183,147,0
1852,33,113,0
616,297,1591,0
11729,56,846,0
4861,612,2841,0
663,110,521,0
857,239,635,0
638,24,61,0
9487,121,489,0
10625,61,873,0
7948,83,309,0
2018,70,292,0
1443,36,0,0
5945,178,609,0
12313,193,891,0
5808,377,618,0
1383,876,2510,0
1659,41,127,0
1262,389,246,0
8072,88,378,0
1028,25,119,0
2882,208,328,0
4625,81,546,0
8851,48,333,0
10579,279,1347,0
776,70,411,0
19274,82,2177,0
4954,163,229,0
7666,382,605,0
6143,785,987,0
8451,239,349,0
1661,70,236,0
3803,39,266,0
3421,261,582,0
424,198,320,0
10181,113,550,0
7061,284,320,0
4998,222,858,0
6629,182,693,0
4455,169,327,0
5724,89,553,0
2848,47,152,0
15728,37,1734,0
4434,190,650,0
17233,60,910,0
3661,397,699,0
811,172,521,0
4148,123,619,0
2025,70,292,0
5007,62,264,0
8948,67,1291,0
2611,925,546,0
5659,142,234,0
1438,725,488,0
532,27,37,0
1754,99,187,0
1832,684,1301,0
4926,231,644,0
4247,82,208,0
7317,69,1978,0
715,54,59,0
5348,220,458,0
1627,203,1167,0
1460,123,201,0
5761,352,961,0
2954,250,188,0
3135,335,624,0
645,216,170,0
810,60,98,0
343,6,21,0
2081,56,474,0
10711,95,674,0
8726,146,467,0
4955,84,324,0
5190,163,720,0
4632,224,1053,0
723,495,805,0
1942,87,203,0
5969,286,572,0
6971,268,1003,0
425,199,321,0
7209,103,422,0
10645,280,1350,0
6736,112,538,0
5198,176,676,0
1660,191,128,0
2635,307,288,0
344,111,1,0
731,581,746,0
2224,323,523,0
6156,407,862,0
5178,336,897,0
4491,564,369,0
682,389,1450,0
7443,345,893,0
5509,28,433,0
1302,203,320,0
3011,361,1169,0
3904,111,369,0
6373,116,297,0
2575,145,388,0
3954,277,841,0
4258,254,1728,0
1437,726,486,0
3222,81,360,0
5281,131,595,0
5520,141,1248,0
9424,609,784,0
442,147,135,0
9606,440,2121,0
3127,368,1494,0
6712,317,465,0
3181,45,357,0
10580,365,2110,0
10373,144,1130,0
427,199,321,0
2317,129,804,0
9655,112,4071,0
1509,48,190,0
2070,236,87,0
11259,185,618,0
2397,75,163,0
1334,119,125,0
17854,414,1541,0
5008,231,656,0
525,8,51,0
2200,51,354,0
